FP,isFake,SET
../data/anti-deepfake-data and code/data/authentic/Seattle/17_22878_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/30_22909_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10459_22971.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10474_22987.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10494_22998.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10495_22991.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10470_22977.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10457_22992.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10456_22975.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10483_23000.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/14_22906_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/27_22899_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10484_22960.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10462_23002.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle/24_22889_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10471_22967.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle/23_22899_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing/27_12434_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10467_22985.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10494_23004.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10495_22968.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10482_22973.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10487_22997.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10491_22996.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing/23_12418_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10492_22983.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing/4_12406_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/28_22905_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10476_22972.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing/21_12415_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10491_22968.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10471_22983.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing/1_12410_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10489_22963.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10455_22965.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10466_22968.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10454_22991.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle/19_22876_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10489_22991.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing/33_12433_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10458_22980.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10471_22963.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10455_22971.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10492_22993.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10489_22984.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10470_22990.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10474_22983.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10464_23003.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle/18_22890_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10481_22979.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10459_22985.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10464_22960.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing/14_12411_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing/12_12421_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10460_23003.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10466_23004.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10479_22965.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10478_22985.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10476_22978.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle/28_22866_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10469_22991.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10459_22972.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10481_22963.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10471_23001.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10491_23006.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10467_22992.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10468_22969.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10491_22983.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10479_22998.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing/16_12410_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10480_22979.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing/16_12403_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10475_23005.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle/15_22899_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10456_23006.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10479_22999.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle/23_22865_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10464_22959.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10489_22982.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle/17_22903_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10492_22999.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10477_22993.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/27_22865_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10480_23001.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10464_22967.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10460_22982.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10456_22991.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10474_22973.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle/24_22872_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10457_23001.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10460_22965.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10464_22963.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle/27_22868_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10484_23003.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10456_22963.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10471_22980.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10486_22991.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10470_23001.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle/31_22907_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10470_22966.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing/4_12427_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/18_22879_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10465_22960.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10472_22980.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10460_22974.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing/30_12432_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10455_22981.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10469_22991.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing/12_12423_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10472_22993.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10487_22998.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10467_22968.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10470_22993.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing/4_12420_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10463_22966.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10482_22994.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10454_22984.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10468_22964.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10482_22982.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10474_22983.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10470_22983.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10494_22976.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing/32_12431_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10468_23002.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10457_22971.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10472_22976.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing/15_12415_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/21_22886_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10485_22989.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10477_22996.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10492_22976.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10471_22996.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10485_22995.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10469_22974.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10457_22964.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10494_22981.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10458_22978.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10487_23005.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10456_22980.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10488_22994.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10464_22986.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10495_22988.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10462_22982.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10492_22982.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10465_22999.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing/3_12406_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing/32_12430_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/16_22870_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/21_22902_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10479_22959.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10477_23003.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10492_22975.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/10_22896_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing/14_12405_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing/20_12429_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing/14_12416_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing/22_12409_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10464_22962.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10486_22991.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10490_22969.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing/15_12425_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10472_22969.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10480_23002.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10482_22961.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10463_22992.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10488_22967.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10493_22967.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10473_22978.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10465_22980.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10454_22961.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10491_22981.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10474_22997.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10455_22963.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10466_22996.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle/28_22909_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10475_22979.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10470_22999.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10470_22990.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10454_22970.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/15_22867_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/17_22892_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/30_22872_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10471_22984.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10469_22990.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10466_22971.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10461_22963.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10480_22977.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10478_22994.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10468_22967.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10491_22988.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10492_22998.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10469_23005.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10489_22982.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10487_22980.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10491_22970.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10458_22993.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10470_22991.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing/5_12416_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing/28_12408_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/29_22909_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10456_23005.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10476_22962.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10462_22964.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10485_22961.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10476_23003.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10481_22978.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing/27_12408_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10481_22960.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10456_22969.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle/14_22899_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/12_22882_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10475_22992.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10483_22963.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10484_22965.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10483_22988.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10487_22964.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10482_22991.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/10_22901_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10455_22988.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10473_22966.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle/20_22906_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10466_23003.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10473_22964.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10477_22987.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10483_22985.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10458_22967.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/14_22901_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10454_22999.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10475_23004.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle/10_22904_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10470_22962.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10461_22968.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10476_22981.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle/22_22899_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10491_22967.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10459_22975.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10494_22987.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing/21_12414_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10470_23006.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10485_22976.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10463_22984.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing/22_12429_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10491_22994.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10488_22983.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10488_23006.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle/22_22864_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10490_22997.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing/2_12423_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10466_22974.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing/18_12432_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10480_22975.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10468_22970.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10462_22993.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10494_22967.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10488_22989.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10492_22971.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10493_22984.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10468_23003.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle/3_22873_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10495_22968.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10493_22987.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10490_22966.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing/29_12431_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10467_22962.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10478_23002.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing/3_12408_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/19_22910_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10490_22989.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10472_22991.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10480_22982.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10489_23000.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10494_22966.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10457_22972.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing/2_12419_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10471_22973.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing/16_12424_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10474_22972.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10483_22966.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10488_22990.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10456_22993.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10468_22983.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/22_22870_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/29_22870_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10463_22979.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10486_22966.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10465_22989.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing/2_12405_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/15_22871_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10475_22982.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10461_22997.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/18_22880_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10482_22962.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10489_22968.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing/4_12409_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/18_22892_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10493_22973.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10463_22968.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10484_22983.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing/21_12417_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10457_22999.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10482_23006.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10455_22971.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10490_23001.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10459_22971.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10454_22962.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10486_22999.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10486_22987.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10485_22971.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10467_23003.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10462_23003.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10476_22975.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10489_22998.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing/33_12429_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10494_22975.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10457_23002.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/30_22897_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10462_22966.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10462_22985.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10463_22965.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/15_22893_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10479_23002.png,0,train
../data/anti-deepfake-data and code/data/authentic/Seattle/23_22891_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10466_22994.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10477_22980.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Beijing/31_12402_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10471_22970.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10461_22984.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10474_22987.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10487_23001.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10462_22984.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10479_22979.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10469_22980.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle/11_22893_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10455_22994.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10495_22966.png,0,train
../data/anti-deepfake-data and code/data/authentic/Beijing/11_12432_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/authentic/Tacoma/10480_22969.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10483_23001.jpg,1,train
../data/anti-deepfake-data and code/data/authentic/Seattle/23_22898_A_real_A.png,0,train
../data/anti-deepfake-data and code/data/fake/Seattle_style/10487_22965.jpg,1,train
../data/anti-deepfake-data and code/data/fake/Beijing_style/10487_22970.jpg,1,train
